page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Schema,Product schema missing,https://www.chewy.com/vital-essentials-freeze-dried-raw/dp/4055966,True,Add or fix Product schema.,,,,,,,,0,vital-essentials-freeze-dried-raw,,True,False,False,False,False,False,False,5,0,2,,,,,,,,,,,,,,1.0
PDP,Schema,Product schema missing,https://www.chewy.com/up-country-narrow-teddy-dog-collar/dp/5011454,True,Add or fix Product schema.,,,,,,,,0,up-country-narrow-teddy-dog-collar,,True,False,False,False,False,False,False,33,0,2,,,,,,,,,,,,,,
PDP,Schema,Product schema missing,https://www.chewy.com/frisco-cozy-waffle-knit-dog-cat-pjs/dp/744206,True,Add or fix Product schema.,,,,,,,,0,frisco-cozy-waffle-knit-dog-cat-pjs,,True,False,False,False,False,False,False,1,0,3,,,,,,,,,,,,,,
PDP,Schema,Product schema missing,https://www.chewy.com/lesure-calming-double-sided-jacquard/dp/4347566,True,Add or fix Product schema.,,,,,,,,0,lesure-calming-double-sided-jacquard,,True,False,False,False,False,False,False,8,0,3,,,,,,,,,,,,,,
PDP,Schema,Product schema missing,https://www.chewy.com/vetriscience-hairball-chicken/dp/261077,True,Add or fix Product schema.,,,,,,,,0,vetriscience-hairball-chicken,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,1.0
PDP,Schema,Product schema missing,https://www.chewy.com/up-country-narrow-counting-sheep-dog/dp/5011126,True,Add or fix Product schema.,,,,,,,,0,up-country-narrow-counting-sheep-dog,,True,False,False,False,False,False,False,8,0,3,,,,,,,,,,,,,,
PDP,Schema,Product schema missing,https://www.chewy.com/kseroo-organic-catnip-filled-cat-chew/dp/4506222,True,Add or fix Product schema.,,,,,,,,0,kseroo-organic-catnip-filled-cat-chew,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,1.0
PDP,Schema,Product schema missing,https://www.chewy.com/clevahome-round-machine-washable/dp/4502142,True,Add or fix Product schema.,,,,,,,,0,clevahome-round-machine-washable,,True,False,False,False,False,False,False,12,0,3,,,,,,,,,,,,,,
PDP,Schema,Product schema missing,https://www.chewy.com/vetriscience-probiotic-everyday-gut/dp/4367574,True,Add or fix Product schema.,,,,,,,,0,vetriscience-probiotic-everyday-gut,,True,False,False,False,False,False,False,2,0,3,,,,,,,,,,,,,,1.0
PDP,Schema,Product schema missing,https://www.chewy.com/doxycycline-hyclate-compounded-oral/dp/672718,True,Add or fix Product schema.,,,,,,,,0,doxycycline-hyclate-compounded-oral,,True,False,False,False,False,False,False,201,302,3,,,,,,,,,,,,,,1.0
PDP,Schema,Product schema missing,https://www.chewy.com/quendalls-grab-n-go-premium-horse/dp/4529390,True,Add or fix Product schema.,,,,,,,,0,quendalls-grab-n-go-premium-horse,,True,False,False,False,False,False,False,5,0,3,,,,,,,,,,,,,,
PDP,Schema,Product schema missing,https://www.chewy.com/kseroo-soft-interactive-plush/dp/4527334,True,Add or fix Product schema.,,,,,,,,0,kseroo-soft-interactive-plush,,True,False,False,False,False,False,False,16,0,3,,,,,,,,,,,,,,1.0
PDP,Schema,Product schema missing,https://www.chewy.com/meloxicam-compounded-oral-oil-liquid/dp/388787,True,Add or fix Product schema.,,,,,,,,0,meloxicam-compounded-oral-oil-liquid,,True,False,False,False,False,False,False,20,302,3,,,,,,,,,,,,,,
PDP,Schema,Product schema missing,https://www.chewy.com/littlearth-nhl-personalized-stretch/dp/310213,True,Add or fix Product schema.,,,,,,,,0,littlearth-nhl-personalized-stretch,,True,False,False,False,False,False,False,36,302,3,,,,,,,,,,,,,,
