page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,H1,H1 does not align to main keyword or topic,https://www.chewy.com/b/health-pharmacy-372,True,Update H1 templates to reflect the primary page intent.,revival dog supplies,"Dog Healthcare: Supplements, Dental & More | Chewy",50,"Shop Chewy for low prices and the best dog dental and healthcare! We have a large selection of dental healthcare supplies like supplements, dental treats, prescription diets, ear/eye care, & more. You can take care of your pup from the tip of their nose to the tip of their tail at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service!",354,revival dog supplies,Dog Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,True,318253,383,1,needs,3233.0,good,0.015,,,66,64,17.51,13,25,27,1,35.0
Browse,H1,H1 does not align to main keyword or topic,https://www.chewy.com/b/dog-technology-products-1897,True,Update H1 templates to reflect the primary page intent.,pet tech,"Dog Tech Products: Dog Cameras, GPS & More (Free Shipping) | Chewy",66,"Shop Chewy for low prices on dog tech products. We carry a wide selection of dog tech products like dog cameras and monitors, GPS and activity collars, electronic treat and food dispensers and electronic doors that are all designed to make owning your dog easy. *FREE* shipping on orders $49+ and the BEST customer service!",323,pet tech,Dog Technology Products,1,dog-technology-products,True,True,False,False,True,False,False,True,318253,365,1,good,2035.0,good,0.015,,,11,11,9.64,7,3,1,0,8.0
Browse,H1,H1 does not align to main keyword or topic,https://www.chewy.com/b/science-backed-formulas-141910,True,Update H1 templates to reflect the primary page intent.,deals on shop cat food by health consideration,Shop by Health Consideration - Free shipping | Chewy,52,"Shop Chewy for low prices and the best Health Consideration! We carry a large selection and the top brands like Wellness, Purina Pro Plan, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",247,deals on shop cat food by health consideration,Shop by Health Consideration,1,science-backed-formulas,True,True,False,False,True,False,False,False,318253,362,1,,,,,,,3,3,1.0,3,0,0,0,1.0
Browse,H1,H1 does not align to main keyword or topic,https://www.chewy.com/b/health-pharmacy-415,True,Update H1 templates to reflect the primary page intent.,non prescription cat healthcare,"Cat Healthcare: Supplements, First Aid & More (Free Shipping) | Chewy",69,"Shop Chewy for low prices and the best Health & Pharmacy! We carry a large selection and the top brands like Trilostane Compounded, Pimobendan Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",263,non prescription cat healthcare,Cat Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,False,318253,403,1,good,2481.0,good,0.02,,,16,16,5.14,13,1,0,2,9.0
Browse,H1,H1 does not align to main keyword or topic,https://www.chewy.com/b/wildlife-supplies-139606,True,Update H1 templates to reflect the primary page intent.,wildlife supplies birdseed beekeeping squirrel food and more,Wildlife Supplies | Chewy,25,"Shop Chewy for low prices and the best Wild Bird and Wildlife Supplies! We carry a large selection and the top brands like Polly's Pet Products, Kingsyard, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",264,wildlife supplies birdseed beekeeping squirrel food and more,Wild Bird and Wildlife Supplies,1,wildlife-supplies,True,True,False,False,True,False,False,True,318253,367,1,,,,,,,3,3,16.5,0,2,0,1,1.0
Browse,H1,H1 does not align to main keyword or topic,https://www.chewy.com/b/wild-bird-seed-11893,True,Update H1 templates to reflect the primary page intent.,birdseed,Wild Bird Seed - Bird Seeds for Wild Birds | Chewy,50,"Shop Chewy for low prices and the best Birdseed products! We carry a large selection and the top brands like Kaytee, Bird Pro, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,birdseed,Wild Bird Seed,1,wild-bird-seed,True,True,False,False,True,False,False,True,318253,356,1,good,1683.0,needs,0.2,,,3,3,11.0,1,1,0,1,7.0
Browse,H1,H1 does not align to main keyword or topic,https://www.chewy.com/b/rabbit-supplies-and-accessories-10850,True,Update H1 templates to reflect the primary page intent.,bunny,Rabbit Supplies & Accessories | Chewy,37,"Shop Chewy for low prices and the best Rabbit products! We carry a large selection and the top brands like Oxbow, Kaytee, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",230,bunny,Rabbit Supplies & Accessories,1,rabbit-supplies-and-accessories,True,True,False,False,True,False,False,True,318253,375,1,good,2212.0,good,0.015,,,32,32,8.61,19,6,3,4,27.0
Browse,H1,H1 does not align to main keyword or topic,https://www.chewy.com/b/saltwater-aquarium-supplies-115958,True,Update H1 templates to reflect the primary page intent.,saltwater fish media,Saltwater Aquarium & Fish Tank Supplies | Chewy,47,"Shop Chewy for low prices and the best Saltwater Fish Shop! We carry a large selection and the top brands like Underwater Treasures, Penn-Plax, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",252,saltwater fish media,Saltwater Aquarium Supplies,1,saltwater-aquarium-supplies,True,True,False,False,True,False,False,False,318253,373,1,,,,,,,2,2,11.0,0,1,0,1,1.0
Browse,H1,H1 does not align to main keyword or topic,https://www.chewy.com/b/pharmacy-15697,True,Update H1 templates to reflect the primary page intent.,chewy pharmacy phone number,Chewy Pet Pharmacy: Prescription Pet Meds & Supplies,52,Shop Chewy for low prices and the best products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,225,chewy pharmacy phone number,It’s easy to get started with Chewy Pharmacy Order in three simple steps The pharmacy you can count on We have all the brands you trust,4,pharmacy,False,False,False,False,True,False,False,False,318253,313,1,good,2423.0,good,0.005,,,119,110,12.06,36,58,11,14,123.0
Browse,H1,H1 does not align to main keyword or topic,https://www.chewy.com/b/learn-about-compounding-169822,True,Update H1 templates to reflect the primary page intent.,where does chewy pharmacy source its prescription items?,"Medicine Made Just for Your Pet, From America's #1 Pet Pharmacy - Free shipping | Chewy",87,Shop Chewy for low prices and the best Learn About Compounding! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,240,where does chewy pharmacy source its prescription items?,"Medicine Made Just for Your Pet, From America's #1 Pet Pharmacy",1,learn-about-compounding,True,False,False,False,True,False,False,False,318253,305,1,,,,,,,39,36,8.61,25,10,3,1,21.0
